gqi,gfa,Generalized Fractional Anisotropy from a GQI fit
gqi,iso,Isotropic Diffusion from a GQI fit
gqi,nrdi02L,Non-restricted Diffusion Imaging from a GQI fit. The total amount of non-restricted diffusion regardless of orientation at a 0.2 diffusion sampling length ratio.
gqi,nrdi04L,Non-restricted Diffusion Imaging from a GQI fit. The total amount of non-restricted diffusion regardless of orientation at a 0.4 diffusion sampling length ratio.
gqi,nrdi06L,Non-restricted Diffusion Imaging from a GQI fit. The total amount of non-restricted diffusion regardless of orientation at a 0.6 diffusion sampling length ratio.
gqi,qa,Quantitative Anisotropy from a GQI fit
gqi,rdi,Restricted Diffusion Imaging from a GQI fit. Indexes the the total amount of restricted diffusion regardless of orientation.
tensor,ad,Axial Diffusivity from a tensor fit. The first eigenvalue of the tensor.
tensor,fa,Fractional Anisotropy from a tensor fit
tensor,ha,Helix Angle from a tensor fit
tensor,md,Mean Diffusivity from a tensor fit. The mean of the three eigenvalues.
tensor,rd,Radial Diffusivity from a tensor fit. The mean of the second and third eigenvalues (rd1 and rd2).
tensor,rd1,Lambda 2 (second eigenvalue) from a tensor fit.
tensor,rd2,Lambda 3 (third eigenvalue) from a tensor fit.
tensor,txx,Tensor fit txx
tensor,txy,Tensor fit txy
tensor,txz,Tensor fit txz
tensor,tyy,Tensor fit tyy
tensor,tyz,Tensor fit tyz
tensor,tzz,Tensor fit tzz
